id,genre,track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,sqenergy
4rrEkzj8rr983DS0tdj0zL,british,In The Morning,Razorlight,0.00316,0.615,222947,0.852,0.000629,4,0.329,-3.493,0,0.0407,124.214,4,0.661,0.725904
5bODPM8nTwwTIE4W9fuUcC,british,I Wish,One Direction,0.00914,0.62,216947,0.872,0.0,7,0.111,-3.123,1,0.0347,124.044,4,0.299,0.760384
7fWXTD51PQ2W9B2lyYlZCN,british,Give Me Love,Ed Sheeran,0.583,0.465,323808,0.39,5.07e-06,1,0.0908,-8.685,1,0.036,116.301,4,0.232,0.1521
3jp7Ryj1sX3riA7NQaVlLd,british,Whistle For The Choir,The Fratellis,0.0489,0.599,215853,0.691,0.0,4,0.0835,-4.571,1,0.0301,131.578,4,0.729,0.47748099999999993
7LDe75cRmbXNcMTGXR5sze,british,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,0.405,0.602,283800,0.537,4.94e-06,10,0.0822,-9.347,1,0.0284,136.553,4,0.353,0.28836900000000004
0Aa0G2l7rZpYUaIxsZ7uov,british,Brick By Brick,Arctic Monkeys,0.00123,0.285,179907,0.807,0.00368,2,0.317,-4.741,1,0.0528,132.206,4,0.542,0.6512490000000001
1yqiPgdyzawcROgGQLvIYj,british,Free,Graffiti6,0.0104,0.656,298074,0.7,0.00163,6,0.341,-5.595,0,0.0422,126.038,4,0.823,0.48999999999999994
6nIE1oCE4udqMGv3bqVNVb,british,Half a Heart,One Direction,0.286,0.515,188547,0.714,0.0,0,0.118,-4.516,1,0.0348,155.954,4,0.495,0.5097959999999999
7oK9VyNzrYvRFo7nQEYkWN,british,Mr. Brightside,The Killers,0.00101,0.356,222587,0.924,0.0,1,0.0953,-3.74,1,0.0808,148.017,4,0.232,0.8537760000000001
3sQrBkXrTHt7gi49T5Y4rr,british,Tears Dry On Their Own,Amy Winehouse,0.491,0.643,185187,0.871,0.0,1,0.29,-2.734,0,0.118,121.569,4,0.452,0.758641
7vhlwjoNX2gsC4YF1wnUmX,british,From The Ritz To The Rubble,Arctic Monkeys,0.00147,0.216,193427,0.882,0.0,11,0.308,-5.176,0,0.0439,189.286,4,0.656,0.7779240000000001
3AqsKFPCvERTPo9GvNn452,british,Don't Let The Sun Catch You Crying - Re-Recording,Gerry & The Pacemakers,0.732,0.521,152580,0.301,0.609,1,0.0917,-15.565,1,0.0298,106.676,4,0.611,0.09060099999999999
6TBmUrZflEhWqkuEWxaoEU,british,Golden Skans,Various Artists,0.000781,0.448,166693,0.817,2.44e-06,2,0.283,-2.931,0,0.0402,141.915,4,0.723,0.6674889999999999
50AXdOg1O8p8OUMw8SzrfE,british,Playa Boi,Cher Lloyd,0.0399,0.671,171360,0.945,2.76e-06,8,0.299,-3.558,0,0.104,107.495,4,0.513,0.893025
17hdos7cv1vAvcfoTU4Pym,british,The Only One I Know,The Charlatans,0.0685,0.543,238120,0.572,0.00119,5,0.0823,-13.124,1,0.0317,113.312,4,0.533,0.3271839999999999
119oZdU7SdgcBAx4mTwkOM,british,For Your Love,The Yardbirds,0.236,0.347,150627,0.638,0.0,2,0.0894,-10.258,1,0.0409,94.506,4,0.61,0.407044
